Bucket label,m/z,Neutral Mass,Matched HMDB IDs,Matched HMDB names,Matched HMDB formulas,HMDB match count,Has Match?,THP1_1,THP1_2,THP1_3,THP1_4,THP1_5,THP1_6,THP1_7,Ecoli_1,Ecoli_2,Ecoli_3,Ecoli_4,Ecoli_5,Ecoli_6,Ecoli_7
116.74779354801106 Da,117.75506999999999,116.74779354801106,,,,,False,,,,,3.37961127264339e-05,,,,,3.482424560986112e-05,,,,
116.74825354801106 Da,117.75553,116.74825354801106,,,,,False,0.00018086255709230632,0.00018044597130644548,0.0001830789158118753,0.0001847933563179621,0.00018635002421578517,0.00016999912644811218,0.00017542814209054263,0.00015996432949785865,0.00016726381846236772,0.0001441107805502509,0.00015093071343483602,0.00015107786978333016,0.00015898622324573506,0.000167117598775829
116.74943354801107 Da,117.75671,116.74943354801107,,,,,False,0.000344184276241212,0.00032278115021386626,0.000330759512396647,0.0003458085196600562,0.000325750784353424,0.0003229072421591214,0.00031868555473267427,0.0002977540123066231,0.00029804223353188626,0.00029552933977318533,0.0002887684933923773,0.0002932516925243899,0.0002914084223126287,0.0003023506752977411
116.75189354801107 Da,117.75917,116.75189354801107,,,,,False,6.841934620346859e-05,5.8005491520620325e-05,5.898168128745515e-05,7.451614030140064e-05,6.34998248410373e-05,6.22488438562468e-05,8.220412841089098e-05,5.731308886976457e-05,6.547376855666189e-05,5.8476987451988457e-05,6.490777746963276e-05,5.938493659142854e-05,5.638061836862644e-05,7.196914990904141e-05
116.75216354801107 Da,117.75944,116.75216354801107,,,,,False,,,,4.467703827217491e-05,,,4.030714287003681e-05,,,,,4.2833371927828326e-05,,
116.75228854801108 Da,117.75956500000001,116.75228854801108,,,,,False,,4.309649177846958e-05,4.250120065278223e-05,,,,,,,,,,,
116.75244354801107 Da,117.75972,116.75244354801107,,,,,False,4.63534183585925e-05,,,,4.8145502004582916e-05,4.578747951265507e-05,,3.936314152253648e-05,,4.7437950702780545e-05,4.882268952023066e-05,,4.7017592669189164e-05,4.795356040967411e-05
116.75512854801107 Da,117.762405,116.75512854801107,,,,,False,3.0577276069390474e-05,,,,,,,,2.6635642573566793e-05,,,,,
117.05819354801108 Da,118.06547,117.05819354801108,,,,,False,9.214951513149603e-05,7.284685289313735e-05,7.518850872732727e-05,6.872768701596974e-05,6.080443413791163e-05,6.183355465744236e-05,5.856884536085284e-05,,,,,,,
117.08390354801107 Da,118.09118,117.08390354801107,,,,,False,9.658936375903066e-05,8.082517436015381e-05,8.196542664707339e-05,8.388569170894009e-05,8.163708941031822e-05,7.356766664427461e-05,7.355323641220075e-05,6.842258802377728e-05,7.361155267331099e-05,8.028199219375852e-05,5.046777243673637e-05,7.666349463005522e-05,8.746833964879479e-05,6.781998852420505e-05
117.38622354801107 Da,118.3935,117.38622354801107,,,,,False,,,,3.76889015051222e-05,,3.117299535761496e-05,,3.356325373714893e-05,,3.29821983680177e-05,3.131532165568058e-05,2.963739806219927e-05,,3.6153196363704076e-05
117.54765354801107 Da,118.55493,117.54765354801107,,,,,False,,,,3.272318170690469e-05,,,,,,,3.019552139046535e-05,,,
117.73007354801108 Da,118.73735,117.73007354801108,,,,,False,6.517189239806188e-05,5.603646342683895e-05,6.257162277966282e-05,6.213376959728177e-05,5.218402505967443e-05,4.659918338029323e-05,4.526463328168497e-05,,,,,,,
118.04598854801107 Da,119.053265,118.04598854801107,,,,,False,3.176667504224207e-05,,,,,,,,,,,,,3.3016659033072476e-05
118.08236354801107 Da,119.08964,118.08236354801107,,,,,False,4.564195096560689e-05,4.555707232934595e-05,4.3646220662768136e-05,5.220847672005155e-05,4.31794455768636e-05,4.093662623128421e-05,4.538970331917285e-05,4.0444232997852024e-05,4.011729305668729e-05,3.3302252909422484e-05,,3.301344487124392e-05,3.969496127213639e-05,
119.10063854801106 Da,120.10791499999999,119.10063854801106,,,,,False,,,,,,,,3.439783658889158e-05,2.7144129543269876e-05,,,3.520602620630716e-05,,3.857176174552599e-05
119.10200354801107 Da,120.10928,119.10200354801107,,,,,False,,,,,3.311141877620933e-05,,,0.00013036743107507466,0.00015482471363661705,0.00015052902985792732,0.00014649976989548511,0.00015461155099252223,0.00015510205199559124,0.00015440576361896188
119.10345354801107 Da,120.11073,119.10345354801107,,,,,False,,,,,,,,,,0.0001262617832963028,0.00012479009378598988,,0.0001225871757464245,
119.43513354801107 Da,120.44241,119.43513354801107,,,,,False,,,,,,,,,2.8290539548602582e-05,,,,3.909191762855759e-05,
119.43798354801108 Da,120.44526,119.43798354801108,,,,,False,,,,,,,,,5.2737101921879336e-05,4.7014856379851284e-05,5.784440024229607e-05,,,
119.72584354801107 Da,120.73312,119.72584354801107,,,,,False,3.4808959982364485e-05,,,3.337649014810017e-05,3.0967248184828954e-05,,,,,,,,,
119.77091354801107 Da,120.77819,119.77091354801107,,,,,False,,3.762083695899048e-05,4.190046162261234e-05,,4.6084197437969566e-05,4.066559590721656e-05,3.5575445566066774e-05,4.686014317577331e-05,5.36855801881685e-05,5.4404560124730495e-05,5.407109477872808e-05,5.195268060514537e-05,4.368123438276754e-05,4.806431616560276e-05
119.93309354801107 Da,120.94037,119.93309354801107,,,,,False,,,3.476752128680582e-05,3.746259491471705e-05,5.701431394858229e-05,4.221598249504714e-05,4.477373934026111e-05,,,4.762651617009153e-05,8.444718208057454e-05,8.584298754365564e-05,0.00011094070209658982,0.00010297210411105183
119.95885354801108 Da,120.96613,119.95885354801108,['HMDB0303430'],['Sodium phosphate (Na(H2PO4))'],['H2NaO4P'],1,True,3.1826592027768846e-05,,,,,,,,,3.527525580112402e-05,,,,3.319657494207427e-05
119.97994354801106 Da,120.98722,119.97994354801106,,,,,False,9.988779381228008e-05,0.00010722222238696027,0.00015430360898090835,0.0001858736666099479,0.00019153486061348714,0.0002175444142204807,0.00020333567468398106,4.876842556634296e-05,6.018943115700853e-05,0.00013785771494755503,0.00022575875103289638,0.00023915094134901714,0.0002779497735213569,0.0002860214158466079
120.75455354801107 Da,121.76183,120.75455354801107,,,,,False,,,,,,3.5359673249701416e-05,3.1097509412443574e-05,,,,,,,
121.06779354801107 Da,122.07507,121.06779354801107,,,,,False,3.893574236052168e-05,4.51181744641672e-05,3.087625873933869e-05,,,,,,,,,,,
121.06920354801107 Da,122.07648,121.06920354801107,,,,,False,5.239459523447536e-05,4.728861459196896e-05,4.667553420293115e-05,,4.576556830033476e-05,3.5833666695265164e-05,3.035437898398702e-05,,,,,,,
121.07072354801107 Da,122.078,121.07072354801107,,,,,False,0.00010186056056074942,9.142490539028679e-05,8.382210111372388e-05,6.908366011150463e-05,,,,,,,,,,
